i;p1;p2;p3;p4;p5;p6;p7;p8;t
0;1,38E+07;1,64E+03;-1,82E+08;-1,77E-02;9,42E+05;-1,26E+06;2,52E+04;1,27E+00;01:04,8
1;0,20872127;0,04459745;0,09620298;0,01390077;4,14420694;2,80177167;1,07500285;-0,36892331;20:03,5
2;0,20855767;0,04459599;0,09611504;0,0139013;4,15006614;2,80160842;1,07500906;-0,36893926;01:47,6
3;0,20884173;0,04460059;0,09626353;0,01390023;4,13839087;2,79929155;1,07501332;-0,36891218;00:35,5
4;-6,88E+01;-1,15E+02;-6,91E-03;5,74E+01;-1,86E+37;5,12E+02;-3,38E+06;1,07E+01;07:54,0
5;0,2087903;0,04459809;0,09623609;0,01390055;4,14183132;2,80106837;1,07500038;-0,36891601;01:07,9
6;-1,67E-01;4,15E-02;4,59E-02;1,41E-02;-4,37E+49;-8,95E+48;1,07E+00;-3,79E-01;00:20,3
7;-1,08E+11;5,49E-02;-4,17E+10;1,40E-02;4,81E+00;7,29E+00;1,33E+00;-3,70E-01;01:24,3
8;0,20895769;0,04459879;0,09634212;0,01389972;4,13270296;2,80859328;1,07496841;-0,36888873;01:07,5
9;9,66E-02;4,23E-02;-3,88E-02;7,79E-03;1,12E+16;4,56E+13;9,86E-01;-3,54E-01;01:44,3
10;0,20880227;0,04459858;0,09624348;0,01390048;4,1410535;2,80094191;1,07500281;-0,36891498;00:09,2
11;-2,23E+10;5,49E-02;-8,62E+09;1,39E-02;4,73E+00;7,18E+00;1,33E+00;-3,70E-01;01:15,9
12;-8,77E+09;-2,93E+04;-2,63E+10;8,88E-03;-2,27E+01;5,77E+02;-5,30E+05;-4,96E-01;00:32,9
13;0,2058097;0,04455853;0,09448414;0,0139092;4,23651213;2,81367681;1,07492062;-0,36898374;01:11,3
14;0,20973679;0,04460925;0,09680784;0,01389632;4,09550452;2,7955655;1,074982;-0,36876484;00:40,0
15;-6,88E+07;8,16E-02;4,92E+07;6,41E-04;-2,29E+129;-8,04E+128;4,29E-02;5,64E-01;00:16,5
16;0,20883179;0,04459964;0,09625623;0,01390035;4,13961189;2,7996246;1,07501013;-0,36891425;00:29,2
17;0,21095101;0,04465611;0,09742875;0,01388858;4,01096879;2,76111772;1,07506446;-0,368621;00:27,2
18;0,20869082;0,04460004;0,0962038;0,01390047;4,14097654;2,79991329;1,07502117;-0,36892341;43:19,5
19;-8,99E+10;5,48E-02;-3,49E+10;1,40E-02;4,64E+00;7,21E+00;1,32E+00;-3,70E-01;01:50,0
20;0,20910295;0,04461571;0,09638476;0,01389821;4,11625633;2,78965022;1,07507876;-0,36887424;00:14,2
21;0,20778889;0,04464532;0,0956473;0,01389415;4,07194725;2,76500203;1,07520899;-0,36885926;00:58,8
22;2,90E-03;4,41E-02;7,49E-03;1,39E-02;4,59E+26;1,16E+27;1,07E+00;-3,67E-01;00:46,1
23;-4,60E+11;5,53E-02;-1,76E+11;1,40E-02;4,67E+00;7,02E+00;1,33E+00;-3,71E-01;00:57,4
24;-4,70E+10;5,49E-02;-1,82E+10;1,40E-02;4,78E+00;7,28E+00;1,33E+00;-3,70E-01;01:38,9
25;0,20891208;0,04460507;0,09631454;0,01389956;4,13096852;2,79723169;1,07503464;-0,36890499;00:28,5
26;4,21E+02;-1,73E-03;7,47E+01;1,40E-02;5,08E+00;1,10E+01;4,41E-01;-1,27E-01;00:42,7
27;-1,73E+01;4,56E-03;-3,02E+00;1,18E-02;-1,90E+01;-6,66E+01;-3,04E-01;-3,81E-01;00:32,9
28;0,20877973;0,04461951;0,09625427;0,01389738;4,1072242;2,78559875;1,07509432;-0,36886558;00:47,8
29;-2,35E+11;4,36E+03;-2,27E+12;1,06E-02;-3,53E+00;-3,46E+02;1,40E+05;8,10E-02;00:35,4
30;0,20709471;0,04457803;0,09536025;0,01390472;4,18740531;2,82594169;1,07487246;-0,36900583;00:35,4
31;-1,20E+11;5,50E-02;-4,62E+10;1,40E-02;4,69E+00;7,18E+00;1,33E+00;-3,70E-01;01:27,0
32;-1,18E-02;1,92E-01;3,66E-03;-4,21E-03;1,17E+82;7,03E+80;3,44E+00;-2,98E-01;00:14,8
33;2,38E+04;-3,16E-01;-1,59E+03;-6,62E-02;1,70E+28;2,90E+27;-5,30E+01;-3,20E+00;22:27,7
34;2,85E+10;5,50E-02;1,10E+10;1,40E-02;4,75E+00;7,27E+00;1,33E+00;-3,70E-01;02:41,7
35;0,20890194;0,04459864;0,09630489;0,01390009;4,13674537;2,8029019;1,07499073;-0,36889891;02:02,5
36;0,20887237;0,04459886;0,09628474;0,01390019;4,13790879;2,8015695;1,0749957;-0,36890389;00:25,3
37;1,02E+11;7,79E-02;-2,66E+11;4,27E-03;-2,98E+03;-5,55E+03;4,07E-01;-8,30E-01;03:45,5
38;0,20894624;0,04460395;0,0963428;0,01389947;4,13000476;2,80007556;1,07502155;-0,36889633;00:20,7
39;0,20897344;0,0446395;0,09633783;0,01389731;4,10656602;2,79573664;1,07515264;-0,36898617;00:54,4
40;0,20882911;0,04460117;0,09626139;0,0139002;4,13805702;2,79896679;1,07501249;-0,36891165;03:07,4
41;0,20885938;0,04460671;0,09628814;0,01389926;4,12779803;2,79129253;1,07504144;-0,36890067;00:20,5
42;0,20798671;0,04460018;0,09559427;0,01390464;4,18672191;2,8081435;1,07513952;-0,36897469;00:26,9
43;0,20824245;0,04458314;0,09581189;0,01390363;4,17544203;2,81056002;1,07496583;-0,36892786;00:12,7
44;-2,32E-02;4,41E-02;7,10E-03;1,39E-02;-5,10E+97;-8,44E+94;1,06E+00;-3,68E-01;00:12,1
45;5,31E-02;2,96E-02;-1,08E-02;1,58E-02;1,89E+86;-9,89E+84;6,83E-01;-3,42E-01;01:01,3
46;0,20813477;0,04458412;0,0958832;0,01390295;4,16801919;2,81704995;1,07493886;-0,36894861;01:48,8
47;1,23E+12;5,48E-02;4,74E+11;1,41E-02;4,51E+00;6,75E+00;1,33E+00;-3,71E-01;01:16,5
48;0,21006389;0,04465478;0,09707575;0,01388385;3,95888166;2,79075644;1,07449253;-0,36874763;00:44,5
49;-1,78E+10;8,92E-01;4,24E+08;-6,34E+08;-6,31E+13;7,02E+12;5,20E+08;7,37E+00;00:56,1
50;0,20898983;0,04459939;0,09633847;0,01389979;4,13341279;2,80122519;1,07499219;-0,36888557;00:27,9
51;-1,66E+12;-1,68E+00;1,70E+12;9,05E-03;-1,42E+02;-7,45E+00;-2,43E+01;-1,94E-01;00:52,1
52;0,20898129;0,04461165;0,09630454;0,01389984;4,13412316;2,79213902;1,07511508;-0,36894377;00:53,6
53;6,48E-02;4,60E-02;-1,43E-02;5,57E-02;1,79E+55;-6,31E+56;6,40E-01;-2,77E-01;00:44,6
54;0,20888388;0,04459992;0,09628952;0,01390009;4,13673616;2,80013262;1,07500345;-0,36890404;00:33,6
55;0,20866014;0,04459483;0,09614966;0,01390111;4,14799278;2,80626113;1,07499391;-0,36892372;00:22,3
56;9,04E-02;4,25E-02;-6,51E-02;1,35E-02;-4,67E+05;2,06E+05;1,05E+00;-3,85E-01;01:32,2
57;2,93E+10;5,45E-02;1,13E+10;1,40E-02;4,67E+00;7,17E+00;1,32E+00;-3,69E-01;02:00,7
58;-1,01E+11;5,50E-02;-3,89E+10;1,39E-02;4,70E+00;7,19E+00;1,33E+00;-3,70E-01;01:16,7
59;-3,08E+08;9,65E-02;8,58E+07;1,46E-02;1,92E+04;-8,48E+04;1,67E+00;-1,79E-01;00:42,3
60;1,05E-01;4,24E-02;-3,96E-02;6,64E-03;1,60E+17;-1,02E+19;9,44E-01;-3,31E-01;03:15,4
61;0,20883562;0,04459935;0,09626014;0,01390034;4,13951333;2,80013692;1,07500595;-0,36891206;00:56,2
62;7,35E-02;4,33E-02;-2,76E-02;2,25E-02;1,15E+17;2,95E+19;9,62E-01;-3,59E-01;00:31,4
63;0,20850465;0,04459259;0,09607883;0,01390169;4,15434182;2,80399338;1,07498753;-0,36894071;00:31,8
64;-1,37E+09;-2,00E+05;-2,53E+09;8,67E-03;-6,54E+01;3,30E+02;-3,54E+06;-3,28E-01;04:17,5
65;0,20885745;0,04461625;0,09631792;0,01389788;4,11264014;2,7901332;1,07508292;-0,36888365;00:24,2
66;-5,14E+11;-3,13E-02;-4,04E+10;1,29E-02;-7,79E+00;-1,31E+00;1,42E-01;-1,95E-01;00:43,4
67;-8,63E+10;5,48E-02;-3,36E+10;1,40E-02;4,61E+00;7,21E+00;1,32E+00;-3,70E-01;02:26,0
68;3,77E+10;5,48E-02;1,46E+10;1,40E-02;4,69E+00;7,22E+00;1,32E+00;-3,70E-01;01:02,2
69;6,30E-02;5,54E-02;-2,73E-02;1,07E-02;2,33E+03;2,79E+04;1,84E+00;-1,46E+00;02:48,9
70;-2,41E+09;4,61E-02;9,63E+08;1,28E-02;9,87E+14;3,81E+13;9,09E-01;-1,50E-01;00:38,5
71;4,03E+10;5,48E-02;1,56E+10;1,40E-02;4,63E+00;7,26E+00;1,33E+00;-3,70E-01;01:00,1
72;0,20964092;0,04461926;0,09664368;0,01389627;4,09490807;2,78734822;1,07512889;-0,36884413;00:24,1
73;0,20884831;0,04459692;0,09626942;0,01390039;4,14010359;2,80212482;1,07498376;-0,36890404;01:38,2
74;0,20881984;0,0445989;0,09624805;0,01390049;4,14118245;2,80111455;1,07500697;-0,36891551;00:29,6
75;2,97E+12;7,24E-03;9,67E+09;5,15E-02;-1,48E+03;-1,57E+03;1,46E+00;-5,89E-01;00:45,2
76;4,25E-02;3,97E-02;-3,31E-02;-9,11E-03;1,66E+06;9,39E+06;1,59E-01;-1,05E+00;00:58,4
77;0,20879875;0,04459577;0,09623969;0,01390067;4,14309492;2,80309176;1,0749817;-0,36891044;00:43,5
78;0,20796708;0,04458694;0,09566422;0,01390417;4,18154906;2,80540681;1,07496377;-0,36895583;00:23,2
79;-8,10E+12;-3,26E+02;-6,55E+12;-1,11E-02;-2,05E+02;-1,30E+02;1,35E+04;-1,11E-03;00:26,0
80;0,20882556;0,0446005;0,09627042;0,01390016;4,13760422;2,80150604;1,07501368;-0,36891158;00:14,6
81;-9,32E-02;4,28E-02;3,82E-02;1,40E-02;-4,06E+21;3,66E+22;1,06E+00;-3,76E-01;00:23,2
82;0,20901882;0,04460811;0,09642895;0,0138983;4,11722072;2,79768416;1,07502175;-0,36887163;00:11,7
83;1,39E+10;9,63E-02;2,04E+09;1,02E-02;-1,23E+09;-5,16E+09;-3,55E-01;-3,27E+00;01:00,3
84;2,38E+11;-3,46E+00;6,19E+09;-3,81E+07;-2,50E+03;-2,47E+03;1,38E+00;1,84E+00;00:52,0
85;0,20875646;0,04459702;0,09621972;0,01390071;4,14357608;2,80219199;1,07499594;-0,36891867;54:38,0
86;0,2083489;0,04458786;0,09598659;0,01390238;4,16183954;2,80708702;1,07496433;-0,36894558;01:45,9
87;0,20891401;0,04461687;0,09635504;0,01389758;4,1093077;2,80867398;1,07490527;-0,36895863;00:49,7
88;-7,91E+10;5,49E-02;-3,07E+10;1,40E-02;4,65E+00;7,20E+00;1,33E+00;-3,70E-01;01:04,8
89;0,20574913;0,04455628;0,09437815;0,0139097;4,24199497;2,81218569;1,07490697;-0,36898072;00:28,8
90;0,20895176;0,04461175;0,09631157;0,01390054;4,14176852;2,80287109;1,07513248;-0,36893438;00:37,5
91;0,20845707;0,04462655;0,0961496;0,01389655;4,09822123;2,7811691;1,07513663;-0,36888338;00:17,6
92;-1,18E+12;-6,98E+00;-3,05E+12;8,82E-03;-5,61E+01;1,35E+01;-1,09E+02;-1,38E-01;02:56,5
93;0,20881777;0,04459457;0,09632143;0,01389986;4,13419996;2,81011183;1,07494086;-0,36888812;01:36,7
94;0,20882085;0,04459738;0,0962516;0,01390051;4,141333;2,80174071;1,07499227;-0,36891049;01:06,6
95;1,05E+11;1,44E-03;3,02E+11;9,21E-03;-3,39E+01;8,19E+01;-5,39E-03;-2,79E-01;00:24,1
96;0,20879574;0,04459687;0,09626574;0,01390035;4,13961318;2,80484678;1,07498488;-0,3689057;00:11,4
97;-9,64E+10;5,49E-02;-3,73E+10;1,39E-02;4,61E+00;7,17E+00;1,32E+00;-3,70E-01;01:04,5
98;0,20869324;0,04459336;0,09616645;0,01390127;4,14964963;2,8045724;1,07497897;-0,36892141;00:23,4
99;0,20975059;0,04463901;0,09665123;0,01389387;4,06875866;2,77599559;1,07510346;-0,3687484;01:02,9
