Rodada;p1;p2;p3;p4;p5;p6;p7;p8;tempo
57;0,20732841;0,04459123;0,09547621;0,01390368;4,17622826;2,79935481;1,07504992;-0,36902689;00:11,8
19;0,20888569;0,04459965;0,09629376;0,0139001;4,13689009;2,8017873;1,07500048;-0,36890351;00:11,9
1;0,20855234;0,04459516;0,09610225;0,01390144;4,15158293;2,80279351;1,07500359;-0,36894339;00:12,2
21;0,20913249;0,04460331;0,09642882;0,01389884;4,1229222;2,81165573;1,07498282;-0,36887253;00:16,5
35;8,64E-03;6,36E-02;-6,31E-04;2,28E-02;9,77E+03;1,68E+04;9,94E-02;1,27E-01;00:17,1
2;0,20810174;0,04459631;0,09578436;0,01390254;4,16397458;2,77927592;1,07501679;-0,36902016;00:17,7
99;1,06E-01;4,32E-02;-2,97E-02;5,10E-03;2,88E+32;6,97E+33;9,74E-01;-3,35E-01;00:18,8
69;0,20648949;0,04457605;0,09482095;0,01390719;4,21480041;2,7896419;1,0749971;-0,3690809;00:19,4
82;0,20819041;0,04459222;0,09584477;0,01390233;4,16124285;2,81441503;1,07494169;-0,36891787;00:19,4
26;0,20908494;0,04461472;0,09637905;0,0138983;4,11732948;2,79061813;1,07507608;-0,36887689;00:19,9
59;0,20885191;0,04460193;0,09626909;0,01390014;4,1373896;2,79882735;1,0750231;-0,36891337;00:20,2
64;1,29E+12;-3,08E-02;6,46E+11;-3,23E-01;-3,04E+29;2,05E+29;4,03E+00;2,98E-01;00:21,2
60;0,20892288;0,04459939;0,09631779;0,01389996;4,13533081;2,8029776;1,07499305;-0,36889692;00:21,5
75;-1,76E-02;4,42E-02;5,25E-03;1,39E-02;-1,48E+133;-4,81E+132;1,06E+00;-3,67E-01;00:22,2
83;0,20893995;0,04460562;0,09631676;0,0138995;4,13033156;2,79623341;1,07503609;-0,36889951;00:22,3
7;-1,96E+12;4,10E+05;2,98E+11;8,27E-03;-2,70E+01;-1,87E+02;8,81E+06;-2,16E-01;00:25,1
74;0,21030894;0,04464035;0,0971576;0,01389147;4,04230506;2,77611286;1,07523984;-0,36887277;00:27,4
47;0,2060824;0,04456052;0,09455653;0,01390935;4,23823129;2,81340277;1,0749482;-0,36896481;00:27,7
85;1,46E-02;4,49E-02;2,68E-05;1,39E-02;3,61E+00;2,40E+00;1,08E+00;-3,68E-01;00:27,8
20;0,20913642;0,04465979;0,09637302;0,0138958;4,09020364;2,78196794;1,07519956;-0,36895545;00:28,7
50;1,80E+01;-2,45E-02;2,30E+00;1,41E-02;6,01E+00;1,37E+01;1,37E-01;-8,63E-02;00:30,8
5;0,20903993;0,04461269;0,09636888;0,01389831;4,1173407;2,79310772;1,07506247;-0,3688737;00:31,0
52;9,11E-02;4,57E-02;-7,97E-03;4,00E-02;2,42E+184;7,00E+178;1,06E+00;-3,62E-01;00:32,8
93;0,20881824;0,04461798;0,09628872;0,01389779;4,11168966;2,78735795;1,07510721;-0,36889506;00:33,2
97;0,20890295;0,04460484;0,09630308;0,01389958;4,13127037;2,79612152;1,07503284;-0,36890292;00:34,7
8;0,20881792;0,04459777;0,09624641;0,01390053;4,14160932;2,80151077;1,07499857;-0,36891321;00:35,5
61;0,20870463;0,04459801;0,09617734;0,01390094;4,14615589;2,798876;1,07501224;-0,36893154;00:36,8
14;-2,99E+09;-4,40E+05;5,44E+09;-8,02E-03;-5,28E+02;3,04E+03;-1,92E+06;-1,42E+00;00:37,2
27;1,02E-01;4,59E-02;-8,84E-03;-3,58E-03;-3,39E+179;-2,25E+178;1,06E+00;-3,60E-01;00:38,3
25;0,20864483;0,0445889;0,09605943;0,01390193;4,15688616;2,80404238;1,07497122;-0,3689154;00:38,4
94;1,20E+04;1,30E-01;-1,44E+03;6,65E-02;7,75E+20;7,63E+21;-2,55E+00;3,28E+00;00:38,7
32;0,20974425;0,04462067;0,09689326;0,01389414;4,07160555;2,79293501;1,0749854;-0,36875412;00:39,3
36;0,20888918;0,04461085;0,09631701;0,01389868;4,12146389;2,79160861;1,07506922;-0,36890062;00:40,0
65;0,20886525;0,04459208;0,09623344;0,01390097;4,14634408;2,80836186;1,07497345;-0,36889188;00:40,7
48;5,04E+10;5,35E-02;-3,98E+09;1,16E-02;1,62E+171;-5,79E+171;1,06E+00;-3,52E-01;00:41,4
34;0,20871178;0,04459374;0,09618675;0,01390109;4,14774374;2,80427235;1,07497592;-0,36891906;00:42,4
33;0,20968932;0,04463936;0,09659608;0,01389376;4,06757888;2,77606189;1,0750943;-0,3687375;00:43,4
10;0,20896765;0,04461676;0,09634622;0,01389828;4,11707442;2,79493841;1,0750946;-0,36890286;00:43,9
43;5,62E+10;5,47E-02;2,17E+10;1,40E-02;4,68E+00;7,10E+00;1,33E+00;-3,70E-01;00:45,9
44;0,20874971;0,04459489;0,09621117;0,0139009;4,14562981;2,80384599;1,07498097;-0,36891632;00:47,1
92;1,96E+12;6,10E-03;2,33E+10;-5,91E-01;-2,44E+03;-1,64E+03;-2,23E+00;-7,13E-01;00:47,9
78;0,20880065;0,0445964;0,09626613;0,01390038;4,13991538;2,80596247;1,07497694;-0,36890714;00:48,3
22;0,20879815;0,04459612;0,09623889;0,01390063;4,14273629;2,80212471;1,07498375;-0,36891081;00:49,0
12;nan;nan;nan;nan;nan;nan;nan;nan];00:49,0
90;7,80E+10;5,48E-02;3,01E+10;1,39E-02;4,69E+00;7,21E+00;1,33E+00;-3,70E-01;00:49,1
53;0,208746;0,04459479;0,09620201;0,01390097;4,14642546;2,80361305;1,07498309;-0,3689173;00:49,3
71;-5,16E+12;3,26E-03;-6,84E+11;-4,53E-03;-2,21E+02;-1,58E+02;3,87E-01;-1,95E-01;00:49,7
77;0,20877297;0,04459768;0,09622635;0,01390063;4,14273228;2,80127723;1,07499925;-0,36891789;00:50,4
9;0,20902148;0,04462011;0,096402;0,01389664;4,09902225;2,79668142;1,07508022;-0,36885594;00:51,3
30;-2,69E-02;4,24E-02;1,65E-02;1,40E-02;1,24E+27;-1,62E+26;1,05E+00;-3,69E-01;00:52,3
72;0,20891261;0,04461009;0,09632145;0,01389882;4,12293966;2,79308162;1,07506104;-0,36889745;00:52,3
42;2,58E+09;5,50E-02;1,01E+09;1,40E-02;4,71E+00;7,18E+00;1,33E+00;-3,70E-01;00:52,5
18;3,90E+10;5,51E-02;1,50E+10;1,40E-02;4,70E+00;7,18E+00;1,33E+00;-3,70E-01;00:53,3
16;0,20891707;0,04462687;0,09631329;0,01389869;4,12158661;2,79900761;1,07516266;-0,36895672;00:53,6
67;-1,63E+12;-1,34E-01;-5,50E+11;1,73E-02;4,88E+01;-1,38E+02;-1,07E+00;-1,88E-01;00:53,8
95;0,20959783;0,04461767;0,09674279;0,01389577;4,08945639;2,79447203;1,07500377;-0,36879447;00:54,9
96;1,91E+11;-4,03E+05;-5,20E+10;7,23E-03;-1,19E+02;-6,94E+02;-6,27E+06;-3,16E-01;00:56,3
29;0,21015366;0,04464462;0,09691498;0,0138923;4,05164437;2,77190125;1,07510507;-0,36871953;00:57,2
38;2,59E+10;5,50E-02;1,00E+10;1,39E-02;4,69E+00;7,17E+00;1,33E+00;-3,70E-01;00:57,5
73;0,20849214;0,04458902;0,09608444;0,01390012;4,13688103;2,82781483;1,07485339;-0,36888462;01:00,8
39;-2,08E-02;4,36E-02;7,49E-03;1,39E-02;7,07E+84;-1,58E+84;1,06E+00;-3,68E-01;01:01,2
46;-4,89E+10;5,49E-02;-1,90E+10;1,40E-02;4,62E+00;7,25E+00;1,33E+00;-3,70E-01;01:01,2
80;0,20882411;0,04459714;0,09625944;0,01390046;4,14084978;2,80320167;1,07498862;-0,36890905;01:05,7
84;0,20805261;0,04461412;0,09589634;0,01389845;4,11927109;2,75922595;1,07516993;-0,36895305;01:07,7
24;1,32E+11;5,48E-02;5,12E+10;1,39E-02;4,84E+00;7,28E+00;1,32E+00;-3,70E-01;01:09,9
13;-1,78E+27;4,01E+02;1,78E+27;7,80E-03;-4,20E+01;-5,18E+02;6,65E+03;-1,05E-01;01:10,3
37;2,84E+11;-1,47E-01;1,78E+11;-1,16E-02;-4,57E+74;-6,16E+11;2,59E+01;3,65E+00;01:11,2
49;0,20972947;0,04459975;0,09664973;0,01389592;4,09067808;2,81990853;1,07497768;-0,36871213;01:11,4
76;-2,49E+10;5,43E-02;-9,63E+09;1,39E-02;4,64E+00;7,03E+00;1,32E+00;-3,68E-01;01:12,5
4;0,20873829;0,04459675;0,09615361;0,0139013;4,14998746;2,8025881;1,07502111;-0,36892844;01:21,8
91;0,20882835;0,0445979;0,09625695;0,01390043;4,1405468;2,80126988;1,07499446;-0,36890975;01:22,6
51;-6,92E+10;5,49E-02;-2,69E+10;1,40E-02;4,55E+00;7,19E+00;1,33E+00;-3,70E-01;01:26,8
