% Measurements of a DFIG system - provided by Prof. Erlich
% t,V_T(pu),angle(rad),angle(°),P_e(pu),Q_e(pu),IPA_r,IQA_r
-0.099,1.01048484848485,0.19947,11.429,0.982,0.057595555555556,-0.89766,-0.5843
-0.098,1.01048484848485,0.19947,11.429,0.982,0.057595555555556,-0.89766,-0.5843
-0.097,1.01048484848485,0.19947,11.429,0.982,0.057595555555556,-0.89766,-0.5843
-0.096,1.01048484848485,0.19947,11.429,0.982,0.057595555555556,-0.89766,-0.5843
-0.095,1.01048484848485,0.19947,11.429,0.982,0.057595555555556,-0.89766,-0.5843
-0.094,1.01048484848485,0.19947,11.429,0.982,0.057595555555556,-0.89766,-0.5843
-0.093,1.01048484848485,0.19947,11.429,0.982,0.057595555555556,-0.89766,-0.5843
-0.092,1.01048484848485,0.19947,11.429,0.982,0.057595555555556,-0.89766,-0.5843
-0.091,1.01048484848485,0.19947,11.429,0.982,0.057595555555556,-0.89766,-0.5843
-0.09,1.01048484848485,0.19947,11.429,0.982,0.057595555555556,-0.89766,-0.5843
-0.089,1.01048484848485,0.19947,11.429,0.982,0.057595555555556,-0.89766,-0.5843
-0.088,1.01048484848485,0.19947,11.429,0.982,0.057595555555556,-0.89766,-0.5843
-0.087,1.01048484848485,0.19947,11.429,0.982,0.057595555555556,-0.89766,-0.5843
-0.086,1.01048484848485,0.19947,11.429,0.982,0.057595555555556,-0.89766,-0.5843
-0.085,1.01048484848485,0.19947,11.429,0.982,0.057595555555556,-0.89766,-0.5843
-0.084,1.01048484848485,0.19947,11.429,0.982,0.057595555555556,-0.89766,-0.5843
-0.083,1.01048484848485,0.19947,11.429,0.982,0.057595555555556,-0.89766,-0.5843
-0.082,1.01048484848485,0.19947,11.429,0.982,0.057595555555556,-0.89766,-0.5843
-0.081,1.01048484848485,0.19947,11.429,0.982,0.057595555555556,-0.89766,-0.5843
-0.08,1.01048484848485,0.19947,11.429,0.982,0.057595555555556,-0.89766,-0.5843
-0.079,1.01048484848485,0.19947,11.429,0.982,0.057595555555556,-0.89766,-0.5843
-0.078,1.01048484848485,0.19947,11.429,0.982,0.057595555555556,-0.89766,-0.5843
-0.077,1.01048484848485,0.19947,11.429,0.982,0.057595555555556,-0.89766,-0.5843
-0.076,1.01048484848485,0.19947,11.429,0.982,0.057595555555556,-0.89766,-0.5843
-0.075,1.01048484848485,0.19947,11.429,0.982,0.057595555555556,-0.89766,-0.5843
-0.074,1.01048484848485,0.19947,11.429,0.982,0.057595555555556,-0.89766,-0.5843
-0.073,1.01048484848485,0.19947,11.429,0.982,0.057595555555556,-0.89766,-0.5843
-0.072,1.01048484848485,0.19947,11.429,0.982,0.057595555555556,-0.89766,-0.5843
-0.071,1.01048484848485,0.19947,11.429,0.982,0.057595555555556,-0.89766,-0.5843
-0.07,1.01048484848485,0.19947,11.429,0.982,0.057595555555556,-0.89766,-0.5843
-0.069,1.01048484848485,0.19947,11.429,0.982,0.057595555555556,-0.89766,-0.5843
-0.068,1.01048484848485,0.19947,11.429,0.982,0.057595555555556,-0.89766,-0.5843
-0.067,1.01048484848485,0.19947,11.429,0.982,0.057595555555556,-0.89766,-0.5843
-0.066,1.01048484848485,0.19947,11.429,0.982,0.057595555555556,-0.89766,-0.5843
-0.065,1.01048484848485,0.19947,11.429,0.982,0.057595555555556,-0.89766,-0.5843
-0.064,1.01048484848485,0.19947,11.429,0.982,0.057595555555556,-0.89766,-0.5843
-0.063,1.01048484848485,0.19947,11.429,0.982,0.057595555555556,-0.89766,-0.5843
-0.062,1.01048484848485,0.19947,11.429,0.982,0.057595555555556,-0.89766,-0.5843
-0.061,1.01048484848485,0.19947,11.429,0.982,0.057595555555556,-0.89766,-0.5843
-0.06,1.01048484848485,0.19947,11.429,0.982,0.057595555555556,-0.89766,-0.5843
-0.059,1.01048484848485,0.19947,11.429,0.982,0.057595555555556,-0.89766,-0.5843
-0.058,1.01048484848485,0.19947,11.429,0.982,0.057595555555556,-0.89766,-0.5843
-0.057,1.01048484848485,0.19947,11.429,0.982,0.057595555555556,-0.89766,-0.5843
-0.056,1.01048484848485,0.19947,11.429,0.982,0.057595555555556,-0.89766,-0.5843
-0.055,1.01048484848485,0.19947,11.429,0.982,0.057595555555556,-0.89766,-0.5843
-0.054,1.01048484848485,0.19947,11.429,0.982,0.057595555555556,-0.89766,-0.5843
-0.053,1.01048484848485,0.19947,11.429,0.982,0.057595555555556,-0.89766,-0.5843
-0.052,1.01048484848485,0.19947,11.429,0.982,0.057595555555556,-0.89766,-0.5843
-0.051,1.01048484848485,0.19947,11.429,0.982,0.057595555555556,-0.89766,-0.5843
-0.05,1.01048484848485,0.19947,11.429,0.982,0.057595555555556,-0.89766,-0.5843
-0.049,1.01048484848485,0.19947,11.429,0.982,0.057595555555556,-0.89766,-0.5843
-0.048,1.01048484848485,0.19947,11.429,0.982,0.057595555555556,-0.89766,-0.5843
-0.047,1.01048484848485,0.19947,11.429,0.982,0.057595555555556,-0.89766,-0.5843
-0.046,1.01048484848485,0.19947,11.429,0.982,0.057595555555556,-0.89766,-0.5843
-0.045,1.01048484848485,0.19947,11.429,0.982,0.057595555555556,-0.89766,-0.5843
-0.044,1.01048484848485,0.19947,11.429,0.982,0.057595555555556,-0.89766,-0.5843
-0.043,1.01048484848485,0.19947,11.429,0.982,0.057595555555556,-0.89766,-0.5843
-0.042,1.01048484848485,0.19947,11.429,0.982,0.057595555555556,-0.89766,-0.5843
-0.041,1.01048484848485,0.19947,11.429,0.982,0.057595555555556,-0.89766,-0.5843
-0.04,1.01048484848485,0.19947,11.429,0.982,0.057595555555556,-0.89766,-0.5843
-0.039,1.01048484848485,0.19947,11.429,0.982,0.057595555555556,-0.89766,-0.5843
-0.038,1.01048484848485,0.19947,11.429,0.982,0.057595555555556,-0.89766,-0.5843
-0.037,1.01048484848485,0.19947,11.429,0.982,0.057595555555556,-0.89766,-0.5843
-0.036,1.01048484848485,0.19947,11.429,0.982,0.057595555555556,-0.89766,-0.5843
-0.035,1.01048484848485,0.19947,11.429,0.982,0.057595555555556,-0.89766,-0.5843
-0.034,1.01048484848485,0.19947,11.429,0.982,0.057595555555556,-0.89766,-0.5843
-0.033,1.01048484848485,0.19947,11.429,0.982,0.057595555555556,-0.89766,-0.5843
-0.032,1.01048484848485,0.19947,11.429,0.982,0.057595555555556,-0.89766,-0.5843
-0.031,1.01048484848485,0.19947,11.429,0.982,0.057595555555556,-0.89766,-0.5843
-0.03,1.01048484848485,0.19947,11.429,0.982,0.057595555555556,-0.89766,-0.5843
-0.029,1.01048484848485,0.19947,11.429,0.982,0.057595555555556,-0.89766,-0.5843
-0.028,1.01048484848485,0.19947,11.429,0.982,0.057595555555556,-0.89766,-0.5843
-0.027,1.01048484848485,0.19947,11.429,0.982,0.057595555555556,-0.89766,-0.5843
-0.026,1.01048484848485,0.19947,11.429,0.982,0.057595555555556,-0.89766,-0.5843
-0.025,1.01048484848485,0.19947,11.429,0.982,0.057595555555556,-0.89766,-0.5843
-0.024,1.01048484848485,0.19947,11.429,0.982,0.057595555555556,-0.89766,-0.5843
-0.023,1.01048484848485,0.19947,11.429,0.982,0.057595555555556,-0.89766,-0.5843
-0.022,1.01048484848485,0.19947,11.429,0.982,0.057595555555556,-0.89766,-0.5843
-0.021,1.01048484848485,0.19947,11.429,0.982,0.057595555555556,-0.89766,-0.5843
-0.02,1.01048484848485,0.19947,11.429,0.982,0.057595555555556,-0.89766,-0.5843
-0.019,1.01048484848485,0.19947,11.429,0.982,0.057595555555556,-0.89766,-0.5843
-0.018,1.01048484848485,0.19947,11.429,0.982,0.057595555555556,-0.89766,-0.5843
-0.017,1.01048484848485,0.19947,11.429,0.982,0.057595555555556,-0.89766,-0.5843
-0.016,1.01048484848485,0.19947,11.429,0.982,0.057595555555556,-0.89766,-0.5843
