% Lin-ZIM System
% X = 0.2089, X' = 0.0446, T_0 = 0.0963, M = 0.0139, G_s = 4.1358, B_s = 2.8004, E_0 = 1.0750, δ_0 = -0.3689
% x0 = [1.0750, -0.3689, 364.381]
% u_0 = 1
% t, ΔP, ΔQ, ΔV
0.0,25.39980813046812,-13.305589346208016,0.0165
0.001,17.00229793253017,-15.336745996429698,0.0165
0.002,8.902316538972363,-17.419989389327668,0.0165
0.003,1.1024089016589431,-19.543030452322732,0.0165
0.004,-6.395527565021803,-21.69427833937318,0.0165
0.005,-13.59021809709434,-23.86282085469638,0.0165
0.006,-20.480985737663566,-26.03840495915668,0.0165
0.007,-27.0677265740893,-28.211417371833413,0.0165
0.008,-33.350885090928976,-30.37286527927385,0.0165
0.008999999999999998,-39.33142967239331,-32.51435716488102,0.0165
0.01,-45.01082828654461,-34.628083770787086,0.0165
0.011,-50.3910243819556,-36.70679920442402,0.0165
0.012,-55.474413026041866,-38.743802201825886,0.0165
0.013,-60.263817312783694,-40.73291755948497,0.0165
0.014,-64.76246506606863,-42.668477746339946,0.0165
0.015,-68.97396586341233,-44.54530470719916,0.0165
0.016,-72.90228840335946,-46.358691868601255,0.0165
0.017,-76.55173823842516,-48.10438635778871,0.0165
0.017999999999999995,-79.92693589401729,-49.7785714451201,0.0165
0.019,-83.0327953923788,-51.377849219878385,0.0165
0.02,-85.87450319921177,-52.89922350904365,0.0165
0.021,-88.45749760929014,-54.34008304819536,0.0165
0.022,-90.78744858603943,-55.698184913290525,0.0165
0.023,-92.87023806875808,-56.97163822163352,0.0165
0.024,-94.7119407598821,-58.158888109911985,0.0165
0.025,-96.31880540344564,-59.25869999672341,0.0165
0.026,-97.69723656467725,-60.27014413655891,0.0165
0.027,-98.85377691948203,-61.19258047174897,0.0165
0.028,-99.79509006140916,-62.025643788407166,0.0165
0.029,-100.52794383257978,-62.76922918194029,0.0165
0.03,-101.05919418396223,-63.42347783721956,0.0165
0.031,-101.39576956932576,-63.9887631280389,0.0165
0.032,-101.54465587618125,-64.46567704001438,0.0165
0.033,-101.51288189603133,-64.85501692061209,0.0165
0.034,-101.30750533529726,-65.1577725595268,0.0165
0.035,-100.93559936737401,-65.37511360217412,0.0165
0.036,-100.40423972537961,-65.50837729860379,0.0165
